s.no,method,instruction,instruction_index,hitcount,Instruction Id in CFG,Block Id as per CFG generated
190,__original_main,swam.runtime.internals.interpreter.Asm$GlobalGet@7c8383eb,0,1,0,1
94,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@255e4321,1,1,1,1
273,__original_main,I32Sub,2,1,2,1
488,__original_main,swam.runtime.internals.interpreter.Asm$LocalTee@6f6a6448,3,1,3,1
957,__original_main,swam.runtime.internals.interpreter.Asm$GlobalSet@4e4f6278,4,1,4,1
764,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@3df5ebd5,5,1,5,1
35,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@7a29a993,6,1,6,1
234,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@4c5b1039,7,1,7,1
187,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@4a5d4980,8,1,8,1
91,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@740afac5,9,1,9,1
940,__original_main,I32Add,10,1,10,1
544,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@14483c1f,11,1,11,1
1034,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@1e32f321,12,1,12,1
174,__original_main,swam.runtime.internals.interpreter.Asm$Call@3840c7f1,13,1,13,1
727,__original_main,swam.runtime.internals.interpreter.Asm$Drop@74c93d33,14,1,14,1
494,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@459ea0c3,15,1,15,1
1045,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@1c062374,16,1,16,1
602,__original_main,I32Add,17,1,17,1
1002,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@604781a7,18,1,18,1
756,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@71418e39,19,1,19,1
773,__original_main,swam.runtime.internals.interpreter.Asm$Call@1382790f,20,1,20,1
916,__original_main,swam.runtime.internals.interpreter.Asm$Drop@20f5d861,21,1,21,1
1038,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@558a09b2,22,1,22,1
409,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@1395f6a6,23,1,23,1
599,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@37d0f442,24,1,24,1
414,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@18c67705,25,1,25,1
588,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@20292ec4,26,1,26,1
559,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@7ecfa90d,27,1,27,1
972,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@137ea018,28,1,28,1
203,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@6a3671d5,29,1,29,1
886,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@1824fe,30,1,30,1
692,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@75d91329,31,1,31,1
917,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@7d2e883f,32,1,32,1
744,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@36235a01,33,1,33,1
601,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@424603df,34,1,34,1
874,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@330afe15,35,1,35,1
401,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@5ab26623,36,1,36,1
114,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@2cf22c72,37,1,37,1
790,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@68cc0a9a,38,1,38,1
836,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@3615d087,39,1,39,1
381,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@195872f2,40,1,40,1
142,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@270d4544,41,1,41,1
152,__original_main,swam.runtime.internals.interpreter.Asm$Call@4aca6a8f,42,1,42,1
108,__original_main,swam.runtime.internals.interpreter.Asm$Drop@216a6842,43,1,43,1
416,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@47bcb7ce,44,1,44,1
230,__original_main,swam.runtime.internals.interpreter.Asm$I64Const@10498690,45,1,45,1
569,__original_main,swam.runtime.internals.interpreter.Asm$I64Store@46dcfb5c,46,1,46,1
