s.no,method,instruction,instruction_index,hitcount,Instruction Id in CFG,Block Id as per CFG generated
13,__original_main,swam.runtime.internals.interpreter.Asm$GlobalGet@853838e,0,1,0,6
7,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@163aec9e,1,1,1,6
1,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@221f41a7,2,1,2,6
33,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@26c2b9ab,3,1,3,6
70,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@5713d7bf,4,1,4,6
52,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@2a7ef37,5,1,5,6
0,__original_main,I32Sub,6,1,6,6
20,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@76859b88,7,1,7,6
12,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@445a5b67,8,1,8,6
6,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@730341e,9,1,9,6
64,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@140e126b,10,1,10,6
36,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@20db43bc,11,1,11,6
72,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@68e66cfe,12,1,12,6
16,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@25ef01fb,13,1,13,6
48,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@64f88902,14,1,14,6
34,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@1945864f,15,1,15,6
71,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@434fa172,16,1,16,6
44,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@5f3e95bd,17,1,17,6
5,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@571b07f2,18,1,18,6
50,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@6ecac0b7,19,1,19,6
55,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@2c2c8525,20,1,20,6
60,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@5c46da29,21,1,21,6
73,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@b58220f,22,1,22,6
26,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@1f8bf069,23,1,23,6
42,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@e7a8f50,24,1,24,6
29,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@7429c57b,25,1,25,6
39,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@26253230,26,1,26,6
37,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@1367b9ed,27,1,27,6
68,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@55bfc7b2,28,1,28,6
18,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@5f988d4b,29,1,29,6
58,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@2124a702,30,1,30,6
46,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@424c870e,31,1,31,6
61,__original_main,swam.runtime.internals.interpreter.Asm$I32Load@35aec968,32,1,32,6
51,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@2237d2ea,33,1,33,6
43,__original_main,swam.runtime.internals.interpreter.Asm$I32Const@1c1881d,34,1,34,6
59,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@140b6020,35,1,35,6
30,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@34616b2f,36,1,36,6
8,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@12818cc2,37,1,37,6
56,__original_main,I32RemS,38,1,38,6
4,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@f516dc6,39,1,39,6
25,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@4b4cc06b,40,1,40,4
11,__original_main,swam.runtime.internals.interpreter.Asm$BrIf@5a233b7d,41,1,,
10,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@1bbc7a88,42,1,41,3
9,__original_main,swam.runtime.internals.interpreter.Asm$I32Load@1d2a2df7,43,1,42,3
31,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@1dfdb15d,44,1,43,3
19,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@2bb8a7dd,45,1,44,3
40,__original_main,swam.runtime.internals.interpreter.Asm$I32Load@5a409c24,46,1,45,3
32,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@1c7aa542,47,1,46,3
22,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@7985a2c1,48,1,47,3
57,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@114f09c0,49,1,48,3
38,__original_main,I32Add,50,1,49,3
24,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@4d6ef4cd,51,1,50,3
3,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@642fb35,52,1,51,3
49,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@48985a5d,53,1,52,3
54,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@3090a15f,54,1,53,3
35,__original_main,swam.runtime.internals.interpreter.Asm$Br@6942ab63,55,1,,
53,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@8e7078c,56,0,54,2
23,__original_main,swam.runtime.internals.interpreter.Asm$I32Load@17ed6463,57,0,55,2
62,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@31b66468,58,0,56,2
14,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@70c3d036,59,0,57,2
47,__original_main,swam.runtime.internals.interpreter.Asm$I32Load@4fc06e3a,60,0,58,2
21,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@626c8912,61,0,59,2
15,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@33f8e580,62,0,60,2
63,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@7e73081e,63,0,61,2
67,__original_main,I32Mul,64,0,62,2
28,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@594b09a1,65,0,63,2
66,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@57a87c0b,66,0,64,2
17,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@3134a93b,67,0,65,2
41,__original_main,swam.runtime.internals.interpreter.Asm$I32Store@20fcf273,68,0,66,2
45,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@18969b43,69,1,67,1
2,__original_main,swam.runtime.internals.interpreter.Asm$I32Load@3dadaacd,70,1,68,1
69,__original_main,swam.runtime.internals.interpreter.Asm$LocalSet@33ea16e3,71,1,69,1
27,__original_main,swam.runtime.internals.interpreter.Asm$LocalGet@63b94187,72,1,70,1
65,__original_main,Return,73,1,,
